tenure,MonthlyCharges,TotalCharges,InternetService_Fiber optic,Contract_Two year,PaymentMethod_Electronic check,InternetService_No,tenure_monthly_charges_interaction,total_extra_services,avg_monthly_cost_per_tenure,risk_score,has_security_services,fiber_elec_check_risk,Contract_One year,SeniorCitizen,PaperlessBilling_Yes,OnlineSecurity_Yes,TechSupport_Yes,PhoneService_Yes,MultipleLines_Yes,OnlineBackup_Yes,Dependents_Yes,DeviceProtection_Yes,StreamingTV_Yes,StreamingMovies_Yes,monthly_log,total_log,monthly_sq,family_flag,monthly_charge_per_contract_year,senior_fiber_customer,high_charge_elec_check_risk,Churn
2,80.65,144.15,1,0,1,0,161.3,1,40.32497983751008,40.32497983751008,0,1,0,0,1,0,0,1,0,0,0,0,1,0,4.402441819416474,4.977767690470639,6504.422500000001,0,80650000.00000001,0,80.65,1
52,79.75,4217.8,0,1,0,0,4147.0,4,1.5336538166605036,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,4.391357962102766,8.347306006402459,6360.0625,0,39.87498006250996,0,0.0,0
69,64.15,4254.1,0,1,0,0,4426.35,3,0.9297101314534765,0.0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,4.176692303570854,8.355873542493944,4115.222500000001,1,32.07498396250802,0,0.0,0
43,90.25,3838.75,1,0,1,0,3880.75,2,2.098837160492159,2.098837160492159,0,1,0,1,1,0,0,1,1,1,0,0,1,0,4.513602992462601,8.253162539295738,8145.0625,0,90250000.0,1,90.25,0
15,99.1,1426.4,1,0,0,0,1486.5,4,6.606666226222251,6.606666226222251,1,0,0,0,1,1,0,1,0,1,0,0,1,1,4.6061696863211745,7.263609886536967,9820.81,0,99100000.0,0,0.0,1
25,69.5,1752.65,0,0,0,0,1737.5,3,2.7799998888000044,2.7799998888000044,1,0,0,1,1,1,1,1,1,0,0,0,1,0,4.255612709818223,7.4694546091209375,4830.25,0,69500000.0,0,0.0,0
8,80.65,633.3,1,0,0,0,645.2,1,10.08124873984391,10.08124873984391,0,0,0,1,1,0,0,1,1,1,0,0,0,0,4.402441819416474,6.4525220286398515,6504.422500000001,0,80650000.00000001,1,0.0,1
60,74.85,4456.35,0,0,0,0,4491.0,5,1.2474999792083337,1.2474999792083337,1,0,1,1,1,1,1,1,0,1,1,1,0,1,4.328757705794541,8.402309698021336,5602.522499999999,1,74.84992515007485,0,0.0,0
18,95.45,1752.55,1,0,1,0,1718.1000000000001,2,5.302777483179028,5.302777483179028,0,1,0,1,1,0,0,1,1,0,0,0,1,1,4.569024739351738,7.4693975835734765,9110.702500000001,0,95450000.0,1,95.45,1
63,99.65,6311.2,1,0,0,0,6277.950000000001,3,1.5817460066389524,1.5817460066389524,1,0,1,0,1,1,0,1,1,0,1,0,1,1,4.611649152085801,8.750239547701803,9930.122500000001,1,99.64990035009967,0,0.0,0
66,108.45,7076.35,1,0,1,0,7157.7,5,1.6431817932851245,1.6431817932851245,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4.695467823968872,8.864654822837052,11761.4025,1,108.44989155010846,1,108.45,0
34,24.95,894.3,0,1,0,1,848.3,0,0.7338235078287204,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3.2561716096118976,6.7971588576401105,622.5024999999999,1,12.474993762503118,0,0.0,0
72,107.5,7853.7,1,1,0,0,7740.0,4,1.4930555348186731,0.0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,4.686750172980514,8.968867357726134,11556.25,0,53.74997312501343,0,0.0,0
47,100.5,4707.1,1,0,1,0,4723.5,3,2.138297826844727,2.138297826844727,1,1,0,0,1,0,0,1,1,0,0,1,1,1,4.620058798481842,8.457039708596394,10100.25,0,100500000.0,0,100.5,0
60,89.9,5450.7,1,0,0,0,5394.0,2,1.4983333083611117,1.4983333083611117,0,0,0,0,1,0,0,1,1,1,0,0,1,0,4.509760001183433,8.603682765623805,8082.010000000001,0,89900000.00000001,0,0.0,0
72,42.1,2962.0,0,1,0,0,3031.2000000000003,3,0.5847222141010804,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,3.763522997109702,7.993957547573565,1772.41,0,21.049989475005262,0,0.0,0
18,54.4,957.1,0,0,0,0,979.1999999999999,2,3.0222220543209968,3.0222220543209968,1,0,1,0,1,0,1,1,0,0,1,1,0,0,4.014579593753238,6.864952156656828,2959.3599999999997,1,54.3999456000544,0,0.0,0
9,94.4,857.25,1,0,1,0,849.6,2,10.488887723456921,10.488887723456921,0,1,0,0,0,0,0,1,1,0,0,0,1,1,4.558078578454241,6.754895432337801,8911.36,0,94400000.00000001,0,94.4,1
3,75.3,244.1,0,0,1,0,225.89999999999998,4,25.09999163333612,25.09999163333612,1,0,0,0,1,0,1,1,0,1,0,0,1,1,4.334672938290411,5.501666290534067,5670.089999999999,0,75300000.0,0,75.3,0
47,78.9,3650.35,1,0,1,0,3708.3,1,1.678723368537801,1.678723368537801,0,1,1,0,1,0,0,1,1,1,0,0,0,0,4.380775852772229,8.202852241207772,6225.210000000001,0,78.89992110007891,0,78.9,0
31,79.2,2497.2,0,1,0,0,2455.2000000000003,5,2.55483862726327,0.0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,4.384523514872469,7.823325751531809,6272.64,0,39.599980200009895,0,0.0,0
50,20.15,930.9,0,1,0,1,1007.4999999999999,0,0.40299999194000014,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.051639905492287,6.83722551279161,406.0224999999999,1,10.074994962502517,0,0.0,0
10,79.85,887.35,1,0,0,0,798.5,2,7.98499920150008,7.98499920150008,1,0,0,0,1,1,0,1,0,0,0,1,0,0,4.392595586023115,6.789365809481915,6376.022499999999,0,79850000.0,0,0.0,0
1,49.05,49.05,0,0,0,0,49.05,1,49.04995095004905,49.04995095004905,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3.9130225057612296,3.9130225057612296,2405.9024999999997,0,49050000.0,0,0.0,0
52,20.4,1090.65,0,0,1,1,1060.8,0,0.39230768476331374,0.39230768476331374,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3.0633909220278057,6.995445592109125,416.15999999999997,1,20.3999796000204,0,20.4,0
64,111.6,7099.0,1,1,0,0,7142.4,5,1.7437499727539068,0.0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,4.72384171570559,8.867850063029406,12454.56,1,55.799972100013946,1,0.0,0
62,24.25,1424.6,0,1,0,1,1503.5,0,0.39112902594953186,0.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,3.228826155721369,7.262348056716545,588.0625,1,12.12499393750303,0,0.0,0
3,64.5,177.4,0,0,0,0,193.5,3,21.49999283333572,21.49999283333572,1,0,0,0,1,1,1,1,0,0,1,0,0,1,4.182050142641207,5.184028220145909,4160.25,0,64500000.0,0,0.0,0
56,110.5,6139.5,1,0,1,0,6188.0,5,1.973214250478317,1.973214250478317,1,1,1,1,0,1,0,1,1,1,0,1,1,1,4.7140245909001735,8.722661451050438,12210.25,0,110.49988950011051,1,110.5,0
46,55.65,2688.85,0,0,0,0,2559.9,1,1.2097825823960309,1.2097825823960309,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4.036891987474015,7.8972407089593375,3096.9224999999997,0,55.649944350055655,0,0.0,0
8,54.65,482.25,0,0,0,0,437.2,2,6.831249146093858,6.831249146093858,1,0,0,0,0,1,0,1,0,1,1,0,0,0,4.019082077721554,6.18053411808844,2986.6225,1,54650000.0,0,0.0,0
30,74.75,2111.3,0,0,1,0,2242.5,4,2.4916665836111136,2.4916665836111136,1,0,0,1,1,1,0,1,0,1,0,0,1,1,4.327438444389479,7.655532680193197,5587.5625,0,74750000.0,0,74.75,0
45,25.9,1216.6,0,0,0,1,1165.5,0,0.5755555427654324,0.5755555427654324,0,0,1,0,1,0,0,1,1,0,1,0,0,0,3.292126286607793,7.104636987107421,670.81,1,25.8999741000259,0,0.0,0
1,79.35,79.35,1,0,1,0,79.35,1,79.34992065007935,79.34992065007935,0,1,0,0,1,0,0,1,0,0,1,0,1,0,4.386392092183521,4.386392092183521,6296.422499999999,0,79350000.0,0,79.35,1
11,50.55,565.35,0,0,1,0,556.05,3,4.595454127685988,4.595454127685988,1,0,0,0,0,1,0,0,0,0,1,0,1,1,3.942552210462969,6.339212261646723,2555.3025,1,50550000.0,0,50.55,0
7,75.15,496.9,1,0,0,0,526.0500000000001,1,10.735712752041035,10.735712752041035,1,0,0,0,1,0,0,1,0,0,0,1,0,0,4.332705079341171,6.210399253648137,5647.522500000001,0,75150000.00000001,0,0.0,1
42,103.8,4327.5,1,0,0,0,4359.599999999999,5,2.4714285125850357,2.4714285125850357,1,0,0,0,1,0,1,1,0,1,0,1,1,1,4.6520537718869415,8.372976340655828,10774.439999999999,0,103800000.0,0,0.0,0
49,20.15,973.35,0,1,0,1,987.3499999999999,0,0.41122448140358203,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.051639905492287,6.881770582010144,406.0224999999999,0,10.074994962502517,0,0.0,0
9,99.3,918.75,1,0,0,0,893.6999999999999,3,11.033332107407544,11.033332107407544,0,0,0,0,1,0,0,1,1,1,0,0,1,1,4.60816569496789,6.824101893984884,9860.49,0,99300000.0,0,0.0,0
35,62.15,2215.45,0,0,0,0,2175.25,2,1.7757142349795934,1.7757142349795934,1,0,1,0,1,1,0,1,0,0,0,0,1,0,4.1455128487965,7.703662095843597,3862.6225,0,62.14993785006215,0,0.0,0
48,20.65,1057.0,0,1,0,1,991.1999999999999,0,0.4302083243706599,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.075005454448499,6.964135612418245,426.42249999999996,1,10.32499483750258,0,0.0,0
46,19.95,927.1,0,1,0,1,917.6999999999999,0,0.4336956427457469,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3.0421386463681466,6.833139485601347,398.0025,1,9.974995012502493,0,0.0,0
29,33.75,1009.25,0,0,0,0,978.75,1,1.1637930633174804,1.1637930633174804,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.548179572010801,6.917953103958583,1139.0625,0,33750000.0,0,0.0,0
30,82.05,2570.2,1,0,0,0,2461.5,2,2.7349999088333363,2.7349999088333363,1,0,0,0,0,0,0,1,0,1,1,1,0,0,4.419442836059304,7.852127994983248,6732.202499999999,1,82050000.0,0,0.0,0
1,74.7,74.7,1,0,1,0,74.7,1,74.69992530007471,74.69992530007471,1,1,0,1,0,0,1,1,0,0,0,0,0,0,4.3267781604434035,4.3267781604434035,5580.09,0,74700000.0,1,74.7,0
66,84.0,5714.25,0,1,0,0,5544.0,5,1.2727272534435266,0.0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,4.442651256490317,8.65089331980408,7056.0,1,41.9999790000105,0,0.0,0
65,111.05,7107.0,1,0,0,0,7218.25,5,1.7084615121775153,1.7084615121775153,1,0,0,0,1,1,0,1,1,1,0,1,1,1,4.718945200246936,8.868976189274543,12332.102499999999,0,111050000.0,0,0.0,0
72,100.9,7459.05,1,1,0,0,7264.8,4,1.4013888694251546,0.0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,4.623991940228679,8.917317395588213,10180.810000000001,0,50.44997477501261,0,0.0,0
12,78.95,927.35,1,0,1,0,947.4000000000001,1,6.579166118402824,6.579166118402824,1,1,0,0,1,1,0,1,1,0,0,0,0,0,4.381401439279963,6.83340881685348,6233.102500000001,0,78950000.0,0,78.95,1
71,66.85,4748.7,0,0,0,0,4746.349999999999,3,0.9415492825133903,0.9415492825133903,1,0,1,0,1,1,1,1,1,1,1,0,0,0,4.217299386280878,8.465836737139407,4468.9225,1,66.84993315006685,0,0.0,0
5,21.05,113.85,0,0,0,1,105.25,0,4.209999158000168,4.209999158000168,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.093312601892855,4.743626929135107,443.1025,0,21050000.0,0,0.0,1
52,21.0,1107.2,0,1,0,1,1092.0,0,0.40384614607988184,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.091042453358316,7.010492356433249,441.0,0,10.499994750002624,0,0.0,0
25,98.5,2514.5,1,0,1,0,2462.5,4,3.939999842400006,3.939999842400006,1,1,0,1,1,0,0,1,0,1,0,1,1,1,4.600157644164547,7.830226869931373,9702.25,0,98500000.0,1,98.5,1
1,20.2,20.2,0,0,0,1,20.2,0,20.199979800020202,20.199979800020202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.054001181677967,3.054001181677967,408.03999999999996,0,20200000.0,0,0.0,0
1,19.45,19.45,0,0,1,1,19.45,0,19.44998055001945,19.44998055001945,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.017982882488811,3.017982882488811,378.30249999999995,1,19450000.0,0,19.45,0
38,95.0,3605.6,1,0,0,0,3610.0,3,2.4999999342105284,2.4999999342105284,1,0,1,0,0,0,1,1,1,0,0,1,1,0,4.564348191467836,8.190520779273172,9025.0,0,94.99990500009501,0,0.0,0
66,45.55,3027.25,0,0,0,0,3006.2999999999997,3,0.6901515046946741,0.6901515046946741,1,0,1,1,0,0,0,0,0,1,0,1,1,0,3.840527003723076,8.015740173896912,2074.8025,0,45.549954450045554,0,0.0,0
68,110.0,7611.85,1,1,0,0,7480.0,5,1.6176470350346024,0.0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,4.709530201312334,8.937592887972736,12100.0,0,54.99997250001375,0,0.0,1
5,24.3,100.2,0,0,0,0,121.5,0,4.859999028000194,4.859999028000194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2308043957334744,4.617098756853365,590.49,0,24300000.0,0,0.0,0
72,104.15,7303.05,1,0,1,0,7498.8,4,1.4465277576871145,1.4465277576871145,1,1,1,0,1,1,0,1,1,1,1,0,1,1,4.655387902148709,8.896184267815448,10847.222500000002,1,104.14989585010416,0,104.15,0
32,30.15,927.65,0,0,0,0,964.8,1,0.9421874705566415,0.9421874705566415,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3.4388142452334622,6.833731918633351,909.0224999999999,0,30.14996985003015,0,0.0,0
43,94.35,3921.3,1,0,0,0,4057.0499999999997,2,2.194185995484047,2.194185995484047,0,0,1,0,0,0,0,1,1,0,0,0,1,1,4.557554332046428,8.274433495416885,8901.922499999999,0,94.34990565009436,0,0.0,0
72,19.4,1363.25,0,1,0,1,1396.8,0,0.26944444070216056,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.0155349008501706,7.218360106066341,376.35999999999996,1,9.699995150002424,0,0.0,0
55,96.75,5238.9,1,0,1,0,5321.25,3,1.7590908771074387,1.7590908771074387,1,1,0,0,1,1,0,1,1,1,0,0,1,0,4.582413198865475,8.564057693163521,9360.5625,0,96750000.0,0,96.75,1
52,57.95,3042.25,0,0,0,0,3013.4,3,1.1144230554918644,1.1144230554918644,1,0,1,0,0,1,1,1,0,0,0,1,0,0,4.07668962698338,8.020681302289706,3358.2025000000003,0,57.949942050057956,0,0.0,0
43,91.65,3954.1,1,0,1,0,3940.9500000000003,3,2.131395299269877,2.131395299269877,1,1,0,0,1,0,0,1,0,1,0,1,1,0,4.528828952731369,8.282761164332172,8399.722500000002,0,91650000.00000001,0,91.65,0
37,76.5,2868.15,1,0,1,0,2830.5,0,2.067567511687365,2.067567511687365,0,1,0,1,1,0,0,1,1,0,0,0,0,0,4.350277936359301,7.961771097640099,5852.25,0,76500000.0,1,76.5,1
64,54.6,3423.5,0,1,1,0,3494.4,4,0.8531249866699221,0.0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,4.018183201256536,8.13871075463796,2981.1600000000003,1,27.299986350006822,0,54.6,0
3,89.85,248.4,1,0,1,0,269.54999999999995,3,29.94999001666999,29.94999001666999,1,1,0,0,0,1,0,1,0,1,1,0,1,0,4.50920979484218,5.519058033245936,8073.022499999999,1,89850000.0,0,89.85,0
36,31.05,1126.35,0,1,0,0,1117.8,1,0.8624999760416674,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.467297183366679,7.027625024832521,964.1025000000001,0,15.52499223750388,0,0.0,0
10,100.25,1064.65,1,0,1,0,1002.5,3,10.0249989975001,10.0249989975001,1,1,0,0,1,1,0,1,1,0,1,0,1,1,4.617592705986649,6.971340220607248,10050.0625,1,100250000.0,0,100.25,1
41,20.65,835.15,0,1,0,1,846.65,0,0.5036585243010115,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.075005454448499,6.728808022827132,426.42249999999996,0,10.32499483750258,0,0.0,0
27,85.2,2151.6,1,0,0,0,2300.4,2,3.1555554386831317,3.1555554386831317,1,0,0,0,1,0,1,1,1,1,1,0,0,0,4.456670177669648,7.674431692830198,7259.040000000001,1,85200000.0,0,0.0,0
56,99.8,5515.45,1,0,0,0,5588.8,3,1.7821428253188782,1.7821428253188782,1,0,1,0,1,0,0,1,1,0,1,1,1,1,4.613138355637268,8.615489816441348,9960.039999999999,1,99.7999002000998,0,0.0,0
